1971.875  0.704135515486
1972.25961538  0.509367521678
1974.32692308  2.01691455473
1979.56730769  5.04806571667
1982.30769231  6.09756235221
1985.91346154  16.1076153462
1986.25  16.1076153462
1988.65384615  40.3151936286
1989.47115385  24.8045441431
1990.57692308  33.3762469429
1992.40384615  65.5248823737
1992.69230769  60.4296390238
1992.69230769  100.903504484
1993.02884615  198.095677855
1993.41346154  67.3170382414
1993.41346154  40.3151936286
1994.71153846  151.247254531
1994.71153846  296.93148482
1995.43269231  296.93148482
1995.72115385  90.5797775943
1996.10576923  198.095677855
1996.34615385  198.095677855
1996.44230769  90.5797775943
1996.82692308  509.367521678
1997.35576923  252.547893258
1997.45192308  537.611747456
1997.54807692  232.909659246
1997.64423077  296.93148482
1998.84615385  495.806824168
1999.13461538  296.93148482
1999.18269231  399.542055895
1999.47115385  457.252669897
1999.47115385  509.367521678
2000.19230769  743.179548784
2000.67307692  1000
2001.10576923  897.687132447
2001.20192308  2016.91455473
2001.68269231  805.842187761
2001.77884615  1420.18116969
2002.40384615  2246.79009181
2002.78846154  1810.55824303
2002.88461538  1000
2003.41346154  1175.74326592
2003.50961538  2186.97465501
2003.60576923  1810.55824303
2004.80769231  2641.64832039
2004.80769231  1910.95297497
2004.85576923  3651.74127255
2005.72115385  3190.84898063
2005.86538462  2788.12666541
2005.96153846  1207.90074743
2006.00961538  2246.79009181
2006.875  3651.74127255
2006.875  2641.64832039
2007.01923077  2713.89943121
2007.06730769  2308.24152676
2007.64423077  2942.72717621
2007.74038462  4655.52593116
2007.74038462  4067.94432108
2007.83653846  2016.91455473
2007.98076923  1420.18116969
2008.17307692  2016.91455473
2008.17307692  2308.24152676
2008.46153846  3023.21302502
2009.18269231  2502.86543117
2009.27884615  3278.12115139
2009.42307692  2641.64832039
2009.66346154  2641.64832039
2009.71153846  3278.12115139
2010.19230769  2308.24152676
####
2011.16   3470
2011.32   2400
2011.9    3000
2012.40   3100
2012.41   2900
2012.7    3700
2012.9    2500
2013.4    1200
2013.8    2700
2014.16   2800
2014.5    3700
2014.8    3200
2014.81   2600
2014.82   2300
2016.33   2200
2016.5    1500
2016.67   4000
2017.5    2200
2017.58   2100
2017.59   2500
